meas N = 8;meas N = 8;meas N = 8
ring = 1;ring = 1;ring = 1
freq (Hz) = 13.838;freq (Hz) = 13.838;freq (Hz) = 13.838
T (K) = 0.284;T (K) = 0.284;T (K) = 0.284
B (T) ;gx (S);gy (S)
0.00000000E+00;2.01931457E-03;1.25054684E-05
2.00000000E-03;2.02993215E-03;-1.08084440E-05
4.00000000E-03;2.03720085E-03;-7.06503934E-06
6.00000000E-03;2.03567718E-03;-5.54637385E-06
8.00000000E-03;2.04453022E-03;-1.46516254E-05
1.00000000E-02;1.94589340E-03;-1.62087022E-04
1.20000000E-02;2.04400012E-03;-2.06907821E-06
1.40000000E-02;2.05642389E-03;-1.55858338E-05
1.60000000E-02;2.05342355E-03;-2.13798922E-05
1.80000000E-02;2.06005574E-03;-3.14617273E-05
2.00000000E-02;2.04970443E-03;-1.07865331E-05
2.20000000E-02;2.05717316E-03;-1.00812649E-05
2.40000000E-02;2.05013376E-03;6.46121906E-08
2.60000000E-02;2.01326792E-03;-9.03835523E-06
2.80000000E-02;2.00301457E-03;-3.93064397E-06
3.00000000E-02;1.97250166E-03;-1.70933484E-05
3.20000000E-02;1.93920354E-03;-7.90161524E-06
3.40000000E-02;1.90176378E-03;-5.58897894E-06
3.60000000E-02;1.86143747E-03;-1.18719261E-05
3.80000000E-02;1.81477222E-03;9.25969246E-07
4.00000000E-02;1.73644036E-03;-2.30030674E-05
4.20000000E-02;1.68189085E-03;-3.17844706E-06
4.40000000E-02;1.61202669E-03;-1.50184922E-05
4.60000000E-02;1.54465446E-03;-8.96150973E-07
4.80000000E-02;1.47317499E-03;4.15144975E-06
5.00000000E-02;1.40173157E-03;-3.49851634E-06
5.20000000E-02;1.32306243E-03;-7.09180162E-06
5.40000000E-02;1.25427645E-03;-1.07462476E-05
5.60000000E-02;1.18680258E-03;-5.38581175E-06
5.80000000E-02;1.10750290E-03;-5.93178632E-06
6.00000000E-02;1.04311656E-03;-2.39269499E-06
6.20000000E-02;9.82897740E-04;-2.07332131E-06
6.40000000E-02;9.18062168E-04;-6.76495982E-06
6.60000000E-02;8.58652621E-04;-1.74761559E-06
