*Frequency 	AM2-abs (dB)	AM2-phase (deg)	AM1-abs (dB)	AM1-phase (deg)	VF1-abs (dB)	VF1-phase (deg)
8	-517,843876826094	118,06837816451	-364,933480116658	28,0723535091152	0,000149336120129443	179,998333461056
8,11310127015005	-517,694638388862	118,403610595121	-364,906179878696	28,4076421343787	0,000149335951160961	179,998309900098
8,22780152746378	-517,544800445421	118,741428365097	-364,878280134708	28,7455169010188	0,000149335777210849	179,998286006042
8,34412337787611	-517,394353795707	119,081804054771	-364,849771685731	29,0859503988438	0,000149335598448825	179,99826177418
8,46208974691692	-517,243289274509	119,424708608424	-364,820645364034	29,4289135673022	0,000149335414714815	179,998237199737
8,58172388422942	-517,091597753219	119,770111280453	-364,790892043277	29,7743756889085	0,000149335225518947	179,998212277868
8,70304936815234	-516,939270156117	120,117979674878	-364,760502645498	30,1223043723987	0,000149335031040585	179,998187003663
8,82609011036691	-516,786297461373	120,468279706844	-364,72946815079	30,4726655472072	0,000149334830924861	179,998161372139
8,95087036060957	-516,632670715941	120,820975608361	-364,697779605493	30,8254234539096	0,000149334625212276	179,998135378246
9,07741471145123	-516,478381040803	121,176029906659	-364,665428130405	31,1805406361935	0,000149334413636682	179,99810901686
9,20574810314422	-516,323419642878	121,533403450572	-364,632404932042	31,5379779466246	0,000149334195933856	179,998082282786
9,33589582853759	-516,167777822118	121,89305537451	-364,598701310775	31,8976945422389	0,00014933397208837	179,998055170754
9,4678835380621	-516,011446980787	122,254943126098	-364,5643086699	32,2596478856839	0,000149333741891932	179,998027675422
9,60173724478554	-515,854418636311	122,619022478498	-364,529218524831	32,6237937489221	0,00014933350519411	179,99799979137
9,73748332953957	-515,696684426305	122,98524750197	-364,493422514534	32,9900862287695	0,000149333261630395	179,997971513103
9,87514854611905	-515,538236120642	123,353570613273	-364,456912408496	33,3584777461524	0,000149333011233573	179,997942835048
10,0147600265549	-515,379065631867	123,72394256444	-364,419680119619	33,7289190731221	0,000149332753685421	179,997913751552
10,1563452864613	-515,219165021973	124,096312466472	-364,381717709909	34,1013593316016	0,000149332488814292	179,997884256883
10,2999322304589	-515,058526516158	124,470627810233	-364,343017403507	34,4757460267757	0,000149332216392609	179,997854345229
10,4455491576744	-514,897142508004	124,84683448894	-364,303571595096	34,8520250635232	0,000149331936163865	179,997824010694
10,5932247673179	-514,735005572386	125,224876812598	-364,263372859339	35,2301407703311	0,000149331647983414	179,9977932473
10,742988164339	-514,572108473491	125,604697546474	-364,222413960261	35,6100359261269	0,000149331351644892	179,997762048983
10,8948688651632	-514,408444174655	125,986237940056	-364,18068786111	35,9916517927597	0,000149331046766433	179,997730409596
11,0488968035092	-514,244005848338	126,36943776142	-364,138187734214	36,3749281511628	0,000149330733284393	179,997698322901
11,2051023362884	-514,078786881917	126,754235314943	-364,094906967575	36,7598033252458	0,000149330410822689	179,997665782576
11,3635162495878	-513,912780892632	127,140567510862	-364,050839178112	37,1462142417717	0,00014933007924439	179,997632782207
11,5241697647377	-513,745981730678	127,528369886431	-364,005978215932	37,5340964502952	0,000149329738190773	179,997599315289
11,6870945444648	-513,578383491793	127,917576665846	-363,960318176549	37,9233841860441	0,000149329387441974	179,997565375228
11,8523226991326	-513,409980522224	128,308120777741	-363,913853406442	38,3140104036404	0,000149329026716414	179,997530955334
12,0198867930701	-513,240767429695	128,699933947218	-363,866578513457	38,7059068393186	0,000149328655634155	179,997496048823
12,1898198509896	-513,070739088908	129,09294671859	-363,818488372937	39,0990040554986	0,000149328274110338	179,997460648816
12,3621553644955	-512,899890651667	129,487088523435	-363,769578134958	39,4932314948339	0,000149327881666665	179,997424748336
12,5369272986851	-512,728217551325	129,882287734562	-363,719843233825	39,8885175509462	0,00014932747800227	179,997388340307
12,7141700988426	-512,555715509947	130,278471720335	-363,669279392082	40,2847896138945	0,000149327062835575	179,997351417553
12,893918697228	-512,382380547245	130,675566929601	-363,617882628989	40,681974144094	0,000149326635865714	179,997313972799
13,0762085199615	-512,208208983361	131,073498926944	-363,565649264228	41,0799967241878	0,000149326196807252	179,997275998663
13,2610754940058	-512,03319744604	131,472192482303	-363,512575926525	41,4787821428665	0,000149325745241678	179,997237487662
13,4485560542467	-511,857342876417	131,871571626642	-363,458659556147	41,8782544484099	0,000149325280790982	179,997198432205
13,6386871506742	-511,680642531134	132,271559721191	-363,403897410625	42,278337024641	0,000149324803044367	179,997158824596
13,8315062556642	-511,503093990566	132,672079545448	-363,348287069107	42,678952663456	0,000149324311745327	179,997118657027
14,0270513713647	-511,324695158253	133,073053351384	-363,291826436452	43,0800236401775	0,000149323806386634	179,997077921584
14,2253610371849	-511,145444267901	133,474402949199	-363,234513745317	43,4814717808012	0,000149323286763855	179,997036610237
14,4264743373909	-510,965339883334	133,876049776411	-363,176347559755	43,883218542496	0,00014932275227333	179,996994714844
14,6304309088092	-510,784380902472	134,277914976204	-363,117326777909	44,2851850928705	0,000149322202591052	179,996952227148
14,8372709486378	-510,602566557382	134,679919477947	-363,057450632266	44,6872923776587	0,000149321637283079	179,996909138776
15,0470352223692	-510,419896418878	135,081984076267	-362,996718692889	45,0894612112887	0,000149321055813257	179,996865441235
15,2597650718245	-510,236370392465	135,484029495738	-362,935130865649	45,4916123389178	0,000149320457911576	179,996821125913
15,4755024233013	-510,05198872208	135,885976480278	-362,87268739459	45,8936665289433	0,000149319842901092	179,996776184076
15,694289795837	-509,866751988821	136,287745876026	-362,809388860329	46,2955446430638	0,000149319210236004	179,996730606867
15,9161703095885	-509,680661108899	136,689258691743	-362,745236179784	46,6971677184263	0,000149318559756237	179,996684385303
16,1411876943309	-509,493717334479	137,090436202692	-362,680230603998	47,098457039933	0,000149317890638268	179,996637510274
16,3693862980758	-509,305922248092	137,491199987549	-362,614373716806	47,4993342213446	0,000149317202507946	179,996589972542
16,6008110958119	-509,117277764815	137,89147204841	-362,547667432142	47,8997212798378	0,000149316494937117	179,996541762738
16,8355076983691	-508,927786124683	138,291174852682	-362,480113990957	48,2995407103297	0,000149315766973041	179,99649287136
17,0735223614074	-508,737449892245	138,690231427867	-362,41171595774	48,6987155593667	0,000149315018447928	179,996443288772
17,3149019945337	-508,546271952753	139,088565424422	-362,342476217019	49,0971695013027	0,00014931424844954	179,996393005203
17,5596941705468	-508,354255504981	139,486101184211	-362,272397968064	49,4948269029902	0,000149313456675083	179,996342010742
17,8079471348137	-508,161404058497	139,882763816103	-362,201484720376	49,8916128961723	0,000149312642287536	179,996290295338
18,0597098147778	-507,967721428804	140,278479267541	-362,12974028934	50,2874534530255	0,000149311804731456	179,9962378488
18,3150318296018	-507,77321172914	140,673174377274	-362,057168788521	50,6822754370204	0,000149310943204535	179,996184660791
18,5739634999477	-507,577879366758	141,0667769486	-361,983774624613	51,0760066752609	0,000149310057226547	179,996130720827
18,8365558578932	-507,38172903478	141,459215808493	-361,909562491113	51,4685760221687	0,000149309146083903	179,996076018279
19,1028606569907	-507,184765706034	141,850420871764	-361,834537361188	51,8599134173573	0,000149308209055296	179,996020542365
19,3729303824664	-506,986994625705	142,240323183513	-361,758704479395	52,249949934077	0,000149307245207275	179,995964282152
19,6468182615645	-506,788421304133	142,628855003598	-361,682069355999	52,6386178497739	0,000149306253903394	179,995907226551
19,9245782740383	-506,589051506496	143,015949808189	-361,604637756909	53,025850679686	0,000149305234541924	179,995849364317
20,206265162788	-506,38889124852	143,40154239486	-361,526415697219	53,4115832406583	0,000149304185984977	179,995790684047
20,4919344446505	-506,187946784962	143,785568890268	-361,447409432019	53,7957516912658	0,000149303107605751	179,995731174175
20,7816424213407	-505,986224602405	144,167966813097	-361,367625447649	54,1782935747373	0,00014930199855951	179,995670822973
21,0754461905479	-505,783731409308	144,548675099843	-361,287070452838	54,5591478597744	0,000149300857868442	179,995609618546
21,3734036571891	-505,580474128386	144,927634161992	-361,205751369937	54,9382549812018	0,000149299684724456	179,995547548832
21,6755735448213	-505,376459886307	145,304785904382	-361,12367532583	55,3155568762758	0,000149298478197955	179,995484601597
